目标变量,行业,制造业分组,检验滞后阶数,best_corr_lag,best_corr,best_abs_corr,corr_n,F,p_value,test_n,df_num,df_den,backtest_n,mae_base,mae_full,mae_gain,point_improvement_share,rolling_windows,rolling_median_abs_corr,rolling_strong_share,rolling_sign_consistency,q_value,证据等级,综合排序分
制造业同比增长率,22.通用设备制造业,装备制造,1,1,-0.32009648200866875,0.32009648200866875,35,4.862577880111691,0.03475004495742001,35,1,32,23,0.10161484110892222,0.09517057198852018,0.06341858187323587,0.43478260869565216,18,0.32577966998049857,0.7222222222222222,1.0,0.1901031871200036,仅相关或检验候选,0.24135303604380576
制造业同比增长率,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,1,1,-0.29956428844720606,0.29956428844720606,35,3.323628842769696,0.07764550785619725,35,1,32,23,0.10161484110892222,0.09810061017501197,0.03458383534884732,0.43478260869565216,18,0.3061870348646377,0.7777777777777778,1.0,0.1977797574975996,仅相关或检验候选,0.21769001655609294
制造业同比增长率,31.金属制品、机械和设备修理业,其他制造,2,1,-0.3583957447815938,0.3583957447815938,35,2.760518506399629,0.07990158315384474,34,2,29,22,0.0906247110645077,0.09019766155355714,0.00471228548962302,0.5454545454545454,18,0.32505264287905533,0.7777777777777778,1.0,0.1977797574975996,仅相关或检验候选,0.20441925721070264
制造业同比增长率,11.印刷和记录媒介复制业,消费与轻工制造,1,1,-0.3330223771327096,0.3330223771327096,35,6.971121192046743,0.012698935074883438,35,1,32,23,0.10161484110892222,0.10011022935873756,0.014807007852050287,0.43478260869565216,18,0.335726153970903,0.7222222222222222,1.0,0.14762512024551996,仅相关或检验候选,0.19486536536634433
制造业同比增长率,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,1,1,-0.400672953189886,0.400672953189886,35,6.293579826998033,0.017378265050941564,35,1,32,23,0.10161484110892222,0.10329494003665844,-0.016533991584313033,0.5217391304347826,18,0.3844287993119483,0.8888888888888888,1.0,0.16085318332951323,仅相关或检验候选,0.1925731077033176
制造业同比增长率,31.金属制品、机械和设备修理业,其他制造,1,1,-0.3583957447815938,0.3583957447815938,35,4.953547140602057,0.03320663457731701,35,1,32,23,0.10161484110892222,0.1032709667395944,-0.01629806839826643,0.5652173913043478,18,0.32505264287905533,0.7777777777777778,1.0,0.1901031871200036,仅相关或检验候选,0.18675715871916335
制造业同比增长率,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,1,1,-0.3076030269139446,0.3076030269139446,35,3.3147096967602376,0.07802580986441061,35,1,32,23,0.10161484110892222,0.10105608432613665,0.005498771406694694,0.30434782608695654,18,0.32703057719516354,0.7222222222222222,1.0,0.1977797574975996,仅相关或检验候选,0.16348417966708043
制造业同比增长率,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,1,3,0.24383983481971241,0.24383983481971241,33,3.7593127117959204,0.061375822648061906,35,1,32,23,0.10161484110892222,0.10345933532283358,-0.018151819102233565,0.6086956521739131,16,0.219820976299114,0.0625,0.9375,0.19204326573573116,仅相关或检验候选,0.11980036543706685
制造业同比增长率,6.纺织服装、服饰业,消费与轻工制造,1,1,-0.2986789868938173,0.2986789868938173,35,3.8304660077876203,0.05910031949834229,35,1,32,23,0.10161484110892222,0.10572607013570487,-0.04045894263000201,0.391304347826087,18,0.31131090185470306,0.6111111111111112,1.0,0.19204326573573116,仅相关或检验候选,0.11974565736823561
制造业同比增长率,3.酒、饮料及精制茶制造业,消费与轻工制造,3,1,-0.2470412000247604,0.2470412000247604,35,2.7661084041157182,0.06194944055991328,33,3,26,20,0.07684522804501144,0.08061977481874187,-0.049118818041889625,0.5,18,0.28337584197397997,0.3333333333333333,1.0,0.19204326573573116,仅相关或检验候选,0.09961235200465715
